iter	Passed	Remaining
417	2795	3892
418	2804	3888
419	2811	3882
420	2819	3877
421	2826	3871
422	2834	3866
423	2842	3860
424	2848	3854
425	2857	3850
426	2863	3843
427	2872	3838
428	2878	3831
429	2888	3829
430	2895	3822
431	2904	3818
432	2910	3811
433	2919	3807
434	2926	3801
435	2935	3796
436	2945	3794
437	2956	3793
438	2967	3792
439	2975	3787
440	2984	3782
441	2991	3776
442	2999	3770
443	3006	3764
444	3013	3758
445	3021	3752
446	3028	3747
447	3036	3741
448	3044	3736
449	3052	3730
450	3058	3723
451	3066	3718
452	3074	3711
453	3082	3706
454	3089	3700
455	3096	3693
456	3103	3687
457	3110	3681
458	3119	3676
459	3126	3669
460	3134	3664
461	3141	3658
462	3149	3652
463	3156	3646
464	3164	3640
465	3172	3634
466	3179	3629
467	3187	3622
468	3193	3615
469	3201	3610
470	3208	3603
471	3216	3598
472	3223	3591
473	3231	3586
474	3238	3579
475	3246	3573
476	3253	3566
477	3298	3602
478	3312	3602
479	3335	3613
480	3346	3610
481	3355	3606
482	3366	3603
483	3374	3597
484	3382	3591
485	3389	3584
486	3397	3579
487	3404	3572
488	3413	3566
489	3420	3560
490	3428	3554
491	3435	3547
492	3443	3540
493	3450	3534
494	3457	3527
495	3468	3524
496	3483	3525
497	3500	3528
498	3515	3529
499	3528	3528
500	3541	3527
501	3550	3522
502	3557	3515
503	3565	3509
504	3572	3501
505	3580	3495
506	3587	3488
507	3596	3482
508	3603	3475
509	3611	3469
510	3618	3462
511	3626	3456
512	3634	3450
513	3642	3444
514	3649	3436
515	3656	3429
516	3664	3423
517	3672	3417
518	3680	3410
519	3687	3403
520	3695	3397
521	3702	3390
522	3710	3384
523	3717	3376
524	3725	3370
525	3731	3363
526	3739	3356
527	3746	3349
528	3752	3341
529	3761	3335
530	3768	3328
531	3776	3322
532	3783	3314
533	3791	3308
534	3798	3301
535	3809	3297
536	3815	3289
537	3823	3283
538	3830	3276
539	3838	3270
540	3845	3262
541	3853	3256
542	3860	3249
543	3867	3242
544	3875	3235
545	3889	3233
546	3899	3229
547	3908	3223
548	3914	3215
549	3923	3210
550	3930	3202
551	3938	3196
552	3945	3189
553	3953	3182
554	3959	3175
555	3966	3167
556	3974	3160
557	3981	3153
558	3990	3147
559	3998	3141
560	4006	3135
561	4013	3128
562	4021	3121
563	4028	3114
564	4036	3107
565	4043	3100
566	4051	3094
567	4058	3087
568	4065	3079
569	4073	3073
570	4080	3065
571	4091	3061
572	4098	3054
573	4106	3047
574	4113	3040
575	4121	3034
576	4128	3026
577	4137	3020
578	4143	3012
579	4152	3006
580	4159	2999
581	4167	2993
582	4174	2985
583	4183	2979
584	4189	2972
585	4197	2965
586	4204	2958
587	4221	2957
588	4228	2950
589	4236	2944
590	4243	2936
591	4251	2930
592	4258	2922
593	4266	2916
594	4272	2908
595	4281	2901
596	4288	2894
597	4295	2887
598	4303	2880
599	4311	2874
600	4321	2869
601	4331	2863
602	4341	2858
603	4352	2853
604	4363	2848
605	4370	2841
606	4377	2834
607	4385	2827
608	4392	2819
609	4402	2814
610	4416	2811
611	4423	2804
612	4432	2798
613	4439	2790
614	4447	2784
615	4453	2776
616	4463	2770
617	4470	2763
618	4478	2756
619	4484	2748
620	4495	2743
621	4503	2736
622	4511	2730
623	4518	2722
624	4529	2717
625	4536	2710
626	4543	2702
627	4550	2695
628	4557	2688
629	4565	2681
630	4572	2673
631	4580	2667
632	4588	2660
633	4596	2653
634	4603	2645
635	4611	2639
636	4618	2631
637	4626	2624
638	4633	2617
639	4641	2610
640	4648	2603
641	4655	2595
642	4665	2590
643	4673	2583
644	4681	2576
645	4688	2569
646	4696	2562
647	4703	2554
648	4711	2548
649	4718	2540
650	4726	2533
651	4733	2526
652	4741	2519
653	4748	2512
654	4790	2523
655	4804	2519
656	4828	2521
657	4836	2513
658	4844	2506
659	4851	2499
660	4859	2492
661	4868	2485
662	4877	2479
663	4884	2471
664	4893	2465
665	4900	2457
